datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal,secchi_m,tp_ugL,Water_Temp_filled,DO_filled,poc
2016-04-19 16:00:00,13.1416296296297,125.135340740741,366.829333333333,90.4213402193112,5.64252846607358,32.8005688888889,99108.4979259259,1.53571428571429,45.2740384615385,7.91841666666667,13.7783333333333,2.23734457410798
2016-04-19 17:00:00,12.6658518518519,80.0116592592593,366.832148148148,90.7405099090527,5.78003239191417,16.1284266666667,98971.6856296296,1.53333333333333,45.2275641025641,8.08983333333333,13.9063333333333,2.23906695312662
2016-04-19 18:00:00,12.1828888888889,24.0726518518519,361.026,91.0472334758556,5.92207143150222,3.72437333333333,98835.2331851852,1.53095238095238,45.1810897435897,8.22825,14.0491666666667,2.24836879414603
2016-04-19 19:00:00,11.8622962962963,0.0,361.026,89.3157746134138,5.43424549962236,4.16327111111111,98872.9155555556,1.52857142857143,45.1346153846154,8.41616666666667,14.093,2.25587334453104
2016-04-19 20:00:00,11.5460740740741,0.0,361.026,87.447645763863,4.96979351262471,0.85504,98911.0008888889,1.52619047619048,45.088141025641,8.92575,14.2856666666667,2.27637571065337
2016-04-19 21:00:00,11.2245925925926,0.0,353.110148148148,85.4882625790316,4.52987438525969,0.697457777777778,98948.5828148148,1.52380952380952,45.0416666666667,8.94208333333333,14.1471666666667,2.27664383182743
2016-04-19 22:00:00,11.1368888888889,0.0,353.110148148148,85.0908509565873,4.66185449825103,3.68782222222222,98923.9828148148,1.52142857142857,44.9951923076923,8.71108333333333,13.8708333333333,2.262201212711
2016-04-19 23:00:00,11.0501131365741,0.0,353.110148148148,84.6803703604902,4.85682487939694,0.702008888888889,98898.922962963,1.51904761904762,44.9487179487179,8.744,13.819,2.27194559556576
2016-04-20,10.9623703703704,0.0,342.462962962963,84.2706946113855,5.11082518090111,0.0,98874.1428148148,1.51666666666667,44.9022435897436,8.63616666666667,13.7041666666667,2.27991126840316
2016-04-20 01:00:00,10.6337777777778,0.0,342.462962962963,85.5891672682576,4.42655593391408,0.0,98820.0210370371,1.51428571428571,44.8557692307692,8.68716666666667,13.792,2.29624523373734
